City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
131,Sao Joao Da Barra,BR,75.2,-21.64,-41.05,Pousada Porto De Canoas
132,Castro,BR,55.42,-24.79,-50.01,CHACARA BAILLY
133,Kloulklubed,PW,77.0,7.04,134.26,Storyboard Beach Resort
134,Banda Aceh,ID,79.95,5.56,95.32,OYO 884 Rumoh PMI Hotel
135,Ahipara,NZ,66.2,-35.17,173.17,Ahipara Holiday Park
137,Taltal,CL,64.71,-25.4,-70.48,Residencial Karime
138,San Quintin,MX,74.48,30.48,-115.95,Old Mill Hotel
140,Qandala,SO,82.87,11.47,49.87,
143,Pisco,PE,69.8,-13.7,-76.22,Hostal San Isidro Oficial
144,Kattivakkam,IN,78.8,13.22,80.32,St. Joseph Thirumana mandapam
147,Virginia Beach,US,62.6,36.85,-75.98,Hilton Virginia Beach Oceanfront
148,Santiago Del Estero,AR,79.16,-27.8,-64.26,Hotel Urbano
149,Noumea,NC,79.0,-22.28,166.46,Hôtel Le Lagon
151,Chuy,UY,59.23,-33.7,-53.46,Nuevo Hotel Plaza
153,Honiara,SB,73.4,-9.43,159.95,Heritage Park Hotel
155,Souillac,MU,69.8,-20.52,57.52,Bils' Villa
158,Camacha,PT,69.8,33.08,-16.33,Hotel Porto Santo & Spa
159,Ilhabela,BR,68.23,-23.78,-45.36,Ilha Flat Hotel
162,Georgetown,MY,80.6,5.41,100.34,Cititel Penang
163,Banepa,NP,59.0,27.63,85.52,Dhulikhel Lodge Resort
165,Oistins,BB,77.0,13.07,-59.53,Butterfly Beach Hotel
166,Bandarbeyla,SO,78.49,9.49,50.81,REER XOOSHLE GROUP
167,Broken Hill,AU,51.8,-31.95,141.43,Daydream Motel & Cottages
169,Qidong,CN,60.01,31.81,121.66,Hilton Garden Inn Qidong
170,Moindou,NC,73.4,-21.69,165.68,Gite de la RYAWA
172,Laguna,US,75.99,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
173,Ponta Do Sol,PT,69.8,32.67,-17.1,Hotel do Campo
178,Ilheus,BR,82.4,-14.79,-39.05,Pontal Praia Hotel
180,Ugoofaaru,MV,82.49,5.67,73.0,Ungoofaaru Inn
